Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20
0 : U1,2 : U100,3 : U102,4 : U103,5 : U105,6 : U113,7 : U117,8 : U121,11 : U13,12 : U130,13 : U132,18 : U14,19 : U146,22 : U150,24 : U154,26 : U158,29 : U162,44 : U186,65 : U222,110 : U5,114 : U58
1 : U10,9 : U127,41 : U18,104 : U40,103 : U36,130 : U99,45 : U190,21 : U149,15 : U134,17 : U139,30 : U163,83 : U255,105 : U41,25 : U156,43 : U182,35 : U171,50 : U2,111 : U50,115 : U63,118 : U76,117 : U72
10 : U129,14 : U133,59 : U215,112 : U53,,,102 : U35,,34 : U169,42 : U180,37 : U174,123 : U86,,28 : U160,70 : U234,108 : U48,61 : U217,121 : U8,,,119 : U77
16 : U136,27 : U16,,128 : U97,,,,,122 : U82,53 : U202,51 : U200,,,32 : U166,,,62 : U219,,,,129 : U98
20 : U147,79 : U251,,,,,,,,55 : U209,95 : U283,,,36 : U173,,,63 : U220,,,,
23 : U153,,,,,,,,,60 : U216,109 : U49,,,40 : U177,,,69 : U231,,,,
31 : U165,,,,,,,,,75 : U243,,,,46 : U193,,,86 : U260,,,,
33 : U167,,,,,,,,,90 : U271,,,,48 : U196,,,92 : U273,,,,
38 : U175,,,,,,,,,91 : U272,,,,56 : U21,,,107 : U47,,,,
39 : U176,,,,,,,,,94 : U276,,,,66 : U226,,,120 : U78,,,,
47 : U195,,,,,,,,,124 : U88,,,,72 : U237,,,,,,,
49 : U198,,,,,,,,,126 : U91,,,,76 : U248,,,,,,,
52 : U201,,,,,,,,,,,,,77 : U249,,,,,,,
54 : U206,,,,,,,,,,,,,82 : U254,,,,,,,
57 : U211,,,,,,,,,,,,,85 : U258,,,,,,,
58 : U213,,,,,,,,,,,,,87 : U261,,,,,,,
64 : U221,,,,,,,,,,,,,89 : U268,,,,,,,
67 : U228,,,,,,,,,,,,,93 : U274,,,,,,,
68 : U230,,,,,,,,,,,,,96 : U284,,,,,,,
71 : U235,,,,,,,,,,,,,97 : U288,,,,,,,
73 : U238,,,,,,,,,,,,,101 : U3,,,,,,,
74 : U241,,,,,,,,,,,,,113 : U57,,,,,,,
78 : U25,,,,,,,,,,,,,116 : U65,,,,,,,
80 : U252,,,,,,,,,,,,,125 : U9,,,,,,,
81 : U253,,,,,,,,,,,,,,,,,,,,
84 : U257,,,,,,,,,,,,,,,,,,,,
88 : U262,,,,,,,,,,,,,,,,,,,,
98 : U290,,,,,,,,,,,,,,,,,,,,
99 : U294,,,,,,,,,,,,,,,,,,,,
100 : U295,,,,,,,,,,,,,,,,,,,,
106 : U44,,,,,,,,,,,,,,,,,,,,
127 : U95,,,,,,,,,,,,,,,,,,,,
