Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21
0 : U1,1 : U100,2 : U102,3 : U103,4 : U105,5 : U113,6 : U117,7 : U121,8 : U13,12 : U136,13 : U139,14 : U14,15 : U146,18 : U150,20 : U154,22 : U158,25 : U162,37 : U18,40 : U186,48 : U209,52 : U217,56 : U222
19 : U153,10 : U133,9 : U132,95 : U53,88 : U36,109 : U99,41 : U190,17 : U149,11 : U134,16 : U147,38 : U180,70 : U255,89 : U41,21 : U156,39 : U182,31 : U171,44 : U2,97 : U58,94 : U50,63 : U243,54 : U220,98 : U63
27 : U165,23 : U16,26 : U163,107 : U97,,,82 : U283,,30 : U169,,46 : U202,,,24 : U160,59 : U234,92 : U48,53 : U219,100 : U72,102 : U8,105 : U91,58 : U231,
29 : U167,66 : U251,33 : U174,,,,,,103 : U82,,69 : U254,,,28 : U166,,,73 : U260,101 : U77,,,,
34 : U175,,93 : U49,,,,,,,,77 : U271,,,32 : U173,,,79 : U273,108 : U98,,,,
43 : U198,,,,,,,,,,78 : U272,,,35 : U176,,,91 : U47,,,,,
45 : U201,,,,,,,,,,81 : U276,,,36 : U177,,,,,,,,
47 : U206,,,,,,,,,,85 : U290,,,42 : U196,,,,,,,,
50 : U211,,,,,,,,,,,,,49 : U21,,,,,,,,
51 : U213,,,,,,,,,,,,,57 : U226,,,,,,,,
55 : U221,,,,,,,,,,,,,61 : U237,,,,,,,,
60 : U235,,,,,,,,,,,,,64 : U248,,,,,,,,
62 : U241,,,,,,,,,,,,,72 : U258,,,,,,,,
65 : U25,,,,,,,,,,,,,74 : U261,,,,,,,,
67 : U252,,,,,,,,,,,,,76 : U268,,,,,,,,
68 : U253,,,,,,,,,,,,,80 : U274,,,,,,,,
71 : U257,,,,,,,,,,,,,83 : U284,,,,,,,,
75 : U262,,,,,,,,,,,,,84 : U288,,,,,,,,
86 : U294,,,,,,,,,,,,,87 : U3,,,,,,,,
90 : U44,,,,,,,,,,,,,96 : U57,,,,,,,,
106 : U95,,,,,,,,,,,,,99 : U65,,,,,,,,
,,,,,,,,,,,,,104 : U9,,,,,,,,
